Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MZ448316,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1416/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-01-18,,"Human respiratory syncytial virus B isolate KEN/1416/2019 attachment glycoprotein gene, partial cds"
MZ448317,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1417/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-01-19,,"Human respiratory syncytial virus B isolate KEN/1417/2019 attachment glycoprotein gene, partial cds"
MZ448318,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1418/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-01-22,,"Human respiratory syncytial virus B isolate KEN/1418/2019 attachment glycoprotein gene, partial cds"
MZ448319,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1419/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-01-23,,"Human respiratory syncytial virus B isolate KEN/1419/2019 attachment glycoprotein gene, partial cds"
MZ448320,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1420/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-01-27,,"Human respiratory syncytial virus B isolate KEN/1420/2019 attachment glycoprotein gene, partial cds"
MZ448321,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1421/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-01-27,,"Human respiratory syncytial virus B isolate KEN/1421/2019 attachment glycoprotein gene, partial cds"
MZ448322,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1422/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-01-28,,"Human respiratory syncytial virus B isolate KEN/1422/2019 attachment glycoprotein gene, partial cds"
MZ448323,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1423/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-01-28,,"Human respiratory syncytial virus B isolate KEN/1423/2019 attachment glycoprotein gene, partial cds"
MZ448324,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1424/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-01-28,,"Human respiratory syncytial virus B isolate KEN/1424/2019 attachment glycoprotein gene, partial cds"
MZ448325,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1425/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-01-29,,"Human respiratory syncytial virus B isolate KEN/1425/2019 attachment glycoprotein gene, partial cds"
MZ448326,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1426/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-01-30,,"Human respiratory syncytial virus B isolate KEN/1426/2019 attachment glycoprotein gene, partial cds"
MZ448327,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1427/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-01-30,,"Human respiratory syncytial virus B isolate KEN/1427/2019 attachment glycoprotein gene, partial cds"
MZ448328,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1428/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-01-30,,"Human respiratory syncytial virus B isolate KEN/1428/2019 attachment glycoprotein gene, partial cds"
MZ448329,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1429/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-01,,"Human respiratory syncytial virus B isolate KEN/1429/2019 attachment glycoprotein gene, partial cds"
MZ448330,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1430/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-03,,"Human respiratory syncytial virus B isolate KEN/1430/2019 attachment glycoprotein gene, partial cds"
MZ448331,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1431/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-03,,"Human respiratory syncytial virus B isolate KEN/1431/2019 attachment glycoprotein gene, partial cds"
MZ448332,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1432/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-05,,"Human respiratory syncytial virus B isolate KEN/1432/2019 attachment glycoprotein gene, partial cds"
MZ448333,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1433/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-05,,"Human respiratory syncytial virus B isolate KEN/1433/2019 attachment glycoprotein gene, partial cds"
MZ448334,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1434/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-05,,"Human respiratory syncytial virus B isolate KEN/1434/2019 attachment glycoprotein gene, partial cds"
MZ448335,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1435/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-05,,"Human respiratory syncytial virus B isolate KEN/1435/2019 attachment glycoprotein gene, partial cds"
MZ448336,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1436/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-06,,"Human respiratory syncytial virus B isolate KEN/1436/2019 attachment glycoprotein gene, partial cds"
MZ448337,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1437/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-06,,"Human respiratory syncytial virus B isolate KEN/1437/2019 attachment glycoprotein gene, partial cds"
MZ448338,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1438/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-07,,"Human respiratory syncytial virus B isolate KEN/1438/2019 attachment glycoprotein gene, partial cds"
MZ448339,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1439/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),735,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-08,,"Human respiratory syncytial virus B isolate KEN/1439/2019 attachment glycoprotein gene, partial cds"
MZ448340,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1440/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-09,,"Human respiratory syncytial virus B isolate KEN/1440/2019 attachment glycoprotein gene, partial cds"
MZ448341,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1441/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-10,,"Human respiratory syncytial virus B isolate KEN/1441/2019 attachment glycoprotein gene, partial cds"
MZ448342,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1442/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-11,,"Human respiratory syncytial virus B isolate KEN/1442/2019 attachment glycoprotein gene, partial cds"
MZ448343,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1443/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-12,,"Human respiratory syncytial virus B isolate KEN/1443/2019 attachment glycoprotein gene, partial cds"
MZ448344,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1444/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),735,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-12,,"Human respiratory syncytial virus B isolate KEN/1444/2019 attachment glycoprotein gene, partial cds"
MZ448345,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1445/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-13,,"Human respiratory syncytial virus B isolate KEN/1445/2019 attachment glycoprotein gene, partial cds"
MZ448346,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1446/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-14,,"Human respiratory syncytial virus B isolate KEN/1446/2019 attachment glycoprotein gene, partial cds"
MZ448347,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1447/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-15,,"Human respiratory syncytial virus B isolate KEN/1447/2019 attachment glycoprotein gene, partial cds"
MZ448348,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1448/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-15,,"Human respiratory syncytial virus B isolate KEN/1448/2019 attachment glycoprotein gene, partial cds"
MZ448349,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1449/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-15,,"Human respiratory syncytial virus B isolate KEN/1449/2019 attachment glycoprotein gene, partial cds"
MZ448350,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1450/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-16,,"Human respiratory syncytial virus B isolate KEN/1450/2019 attachment glycoprotein gene, partial cds"
MZ448351,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1451/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-16,,"Human respiratory syncytial virus B isolate KEN/1451/2019 attachment glycoprotein gene, partial cds"
MZ448352,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1452/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-17,,"Human respiratory syncytial virus B isolate KEN/1452/2019 attachment glycoprotein gene, partial cds"
MZ448353,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1453/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-18,,"Human respiratory syncytial virus B isolate KEN/1453/2019 attachment glycoprotein gene, partial cds"
MZ448354,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1454/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-18,,"Human respiratory syncytial virus B isolate KEN/1454/2019 attachment glycoprotein gene, partial cds"
MZ448355,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1455/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-19,,"Human respiratory syncytial virus B isolate KEN/1455/2019 attachment glycoprotein gene, partial cds"
MZ448356,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1456/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-19,,"Human respiratory syncytial virus B isolate KEN/1456/2019 attachment glycoprotein gene, partial cds"
MZ448357,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1457/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-20,,"Human respiratory syncytial virus B isolate KEN/1457/2019 attachment glycoprotein gene, partial cds"
MZ448358,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1458/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-21,,"Human respiratory syncytial virus B isolate KEN/1458/2019 attachment glycoprotein gene, partial cds"
MZ448359,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1459/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-23,,"Human respiratory syncytial virus B isolate KEN/1459/2019 attachment glycoprotein gene, partial cds"
MZ448360,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1460/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-24,,"Human respiratory syncytial virus B isolate KEN/1460/2019 attachment glycoprotein gene, partial cds"
MZ448361,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1461/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-24,,"Human respiratory syncytial virus B isolate KEN/1461/2019 attachment glycoprotein gene, partial cds"
MZ448362,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1462/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-26,,"Human respiratory syncytial virus B isolate KEN/1462/2019 attachment glycoprotein gene, partial cds"
MZ448363,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1463/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-26,,"Human respiratory syncytial virus B isolate KEN/1463/2019 attachment glycoprotein gene, partial cds"
MZ448364,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1464/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-26,,"Human respiratory syncytial virus B isolate KEN/1464/2019 attachment glycoprotein gene, partial cds"
MZ448365,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1465/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-27,,"Human respiratory syncytial virus B isolate KEN/1465/2019 attachment glycoprotein gene, partial cds"
MZ448366,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1466/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-27,,"Human respiratory syncytial virus B isolate KEN/1466/2019 attachment glycoprotein gene, partial cds"
MZ448367,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1467/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-28,,"Human respiratory syncytial virus B isolate KEN/1467/2019 attachment glycoprotein gene, partial cds"
MZ448368,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1468/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-28,,"Human respiratory syncytial virus B isolate KEN/1468/2019 attachment glycoprotein gene, partial cds"
MZ448369,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1469/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-02-28,,"Human respiratory syncytial virus B isolate KEN/1469/2019 attachment glycoprotein gene, partial cds"
MZ448370,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1470/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-03-01,,"Human respiratory syncytial virus B isolate KEN/1470/2019 attachment glycoprotein gene, partial cds"
MZ448371,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1471/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-03-02,,"Human respiratory syncytial virus B isolate KEN/1471/2019 attachment glycoprotein gene, partial cds"
MZ448372,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1472/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-03-02,,"Human respiratory syncytial virus B isolate KEN/1472/2019 attachment glycoprotein gene, partial cds"
MZ448373,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1473/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-03-07,,"Human respiratory syncytial virus B isolate KEN/1473/2019 attachment glycoprotein gene, partial cds"
MZ448374,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1474/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-03-08,,"Human respiratory syncytial virus B isolate KEN/1474/2019 attachment glycoprotein gene, partial cds"
MZ448375,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1475/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-03-09,,"Human respiratory syncytial virus B isolate KEN/1475/2019 attachment glycoprotein gene, partial cds"
MZ448376,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1476/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-03-11,,"Human respiratory syncytial virus B isolate KEN/1476/2019 attachment glycoprotein gene, partial cds"
MZ448377,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1477/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-03-11,,"Human respiratory syncytial virus B isolate KEN/1477/2019 attachment glycoprotein gene, partial cds"
MZ448378,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1478/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-03-12,,"Human respiratory syncytial virus B isolate KEN/1478/2019 attachment glycoprotein gene, partial cds"
MZ448379,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1479/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-03-12,,"Human respiratory syncytial virus B isolate KEN/1479/2019 attachment glycoprotein gene, partial cds"
MZ448380,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1480/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-03-12,,"Human respiratory syncytial virus B isolate KEN/1480/2019 attachment glycoprotein gene, partial cds"
MZ448381,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1481/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-03-13,,"Human respiratory syncytial virus B isolate KEN/1481/2019 attachment glycoprotein gene, partial cds"
MZ448382,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1482/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-03-13,,"Human respiratory syncytial virus B isolate KEN/1482/2019 attachment glycoprotein gene, partial cds"
MZ448383,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1483/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-03-16,,"Human respiratory syncytial virus B isolate KEN/1483/2019 attachment glycoprotein gene, partial cds"
MZ448384,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1484/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-03-18,,"Human respiratory syncytial virus B isolate KEN/1484/2019 attachment glycoprotein gene, partial cds"
MZ448385,,"Kamau,E., Mutunga,M., Mwema,A., Agoti,C.N., Nokes,D.J.",2021-09-06T00:00:00Z,KEN/1485/2019,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),732,GenBank,partial,,,,Kenya,Kenya,,Homo sapiens,,2019-03-18,,"Human respiratory syncytial virus B isolate KEN/1485/2019 attachment glycoprotein gene, partial cds"
