Disease	Gene symbol	Inheritance	Inheritance detail	OMIM_ID	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	Associated features	Major category	Subcategory	ICD9	ICD10	HPO (table)	HPO (subtable)	UniProt	Ensembl	OMIM	GWAS	omni	gnomAD r2 GRCh37	gnomAD r3 GRCh38	pdb	HGNC	ORPHA	HPO	AmiGo	Alpha Fold	Gemma	ClinGen
STIM1 deficiency	STIM1	AR	NA	605921	Normal, defective TCR mediated activation	Normal	Normal	NA	NA	Autoimmunity, EDA, non-progressive myopathy	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 8 Calcium Channel Defects	279.2	D81.9	HP:0002715	HP:0003198	uniprot.org/STIM1	ensembl.org/STIM1	omim.org/STIM1	GWAS/STIM1	omni/STIM1	gnomad.org/r2STIM1	gnomad.org/r3STIM1	rcsb.org/STIM1	genenames.org/STIM1	hpo/ORPHA/STIM1	hpo.jax.org/STIM1	amigo.org/STIM1	alphafold/STIM1	gemma/STIM1	clinicalgenome.org/STIM1
BCL11B deficiency	BCL11B	AD	NA	617237	Low	Normal	Normal	NA	NA	Congenital abnormalities, neonatal teeth, dysmorphic facies, absent corpus callosum, neurocognitive deficits	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0000695	uniprot.org/BCL11B	ensembl.org/BCL11B	omim.org/BCL11B	GWAS/BCL11B	omni/BCL11B	gnomad.org/r2BCL11B	gnomad.org/r3BCL11B	rcsb.org/BCL11B	genenames.org/BCL11B	hpo/ORPHA/BCL11B	hpo.jax.org/BCL11B	amigo.org/BCL11B	alphafold/BCL11B	gemma/BCL11B	clinicalgenome.org/BCL11B
Hennekam-lymphangiectasia-lymphedema syndrome due to CCBE1 deficiency	CCBE1	AR	NA	612753	Low/variable	Low/variable	NA	NA	NA	Lymphangiectasia and lymphedema with facial abnormalities and other dysmorphic features	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0031842	uniprot.org/CCBE1	ensembl.org/CCBE1	omim.org/CCBE1	GWAS/CCBE1	omni/CCBE1	gnomad.org/r2CCBE1	gnomad.org/r3CCBE1	rcsb.org/CCBE1	genenames.org/CCBE1	hpo/ORPHA/CCBE1	hpo.jax.org/CCBE1	amigo.org/CCBE1	alphafold/CCBE1	gemma/CCBE1	clinicalgenome.org/CCBE1
CD28 deficiency	CD28	AR	NA	NA	Normal numbers of T and myeloid cells with decreased NK cells	Normal numbers of total B cells and subsets	Normal serum IgM, G, A; • intact levels of pathogen-spec IgG	NA	NA	HPV susceptibility	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	NA	NA	NA	NA	uniprot.org/CD28	ensembl.org/CD28	omim.org/CD28	GWAS/CD28	omni/CD28	gnomad.org/r2CD28	gnomad.org/r3CD28	rcsb.org/CD28	genenames.org/CD28	hpo/ORPHA/CD28	hpo.jax.org/CD28	amigo.org/CD28	alphafold/CD28	gemma/CD28	clinicalgenome.org/CD28
DIAPH1 deficiency	DIAPH1	AR	NA	NA	Decreased naive T cells, RTEs	hi naïve/transitional, low memory	Low IgM, normal IgG, variable IgA. Near normal vaccine resp	NA	NA	seizures, cortical blindness, microcephaly syndrome SCBMS. Recurrent bacterial, viral, fungal infections, B-lymphoma.  Decreased T cell activation/proliferation in vitro,  impaired adhesion/MTOC repositioning to immune synapse, defective cytoskeletal organization and mitochondrial dysfunction in SCBMS pathogenesis	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	NA	NA	NA	NA	uniprot.org/DIAPH1	ensembl.org/DIAPH1	omim.org/DIAPH1	GWAS/DIAPH1	omni/DIAPH1	gnomad.org/r2DIAPH1	gnomad.org/r3DIAPH1	rcsb.org/DIAPH1	genenames.org/DIAPH1	hpo/ORPHA/DIAPH1	hpo.jax.org/DIAPH1	amigo.org/DIAPH1	alphafold/DIAPH1	gemma/DIAPH1	clinicalgenome.org/DIAPH1
Vici syndrome due to EPG5 deficiency	EPG5	AR	NA	615068	Profound depletion of CD4+ cells	Defective	NA	NA	NA	Agenesis of the corpus callosum, cataracts, cardiomyopathy, skin hypopigmentation,  intellectual disability, microcephaly, recurrent infections, chronic mucocutaneous candidiasis	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0000518	uniprot.org/EPG5	ensembl.org/EPG5	omim.org/EPG5	GWAS/EPG5	omni/EPG5	gnomad.org/r2EPG5	gnomad.org/r3EPG5	rcsb.org/EPG5	genenames.org/EPG5	hpo/ORPHA/EPG5	hpo.jax.org/EPG5	amigo.org/EPG5	alphafold/EPG5	gemma/EPG5	clinicalgenome.org/EPG5
Hennekam-lymphangiectasia-lymphedema syndrome due to FAT4 deficiency	FAT4	AR	NA	612411	Low/variable	Low/variable	NA	NA	NA	Lymphangiectasia and lymphedema with facial abnormalities and other dysmorphic features	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0031842	uniprot.org/FAT4	ensembl.org/FAT4	omim.org/FAT4	GWAS/FAT4	omni/FAT4	gnomad.org/r2FAT4	gnomad.org/r3FAT4	rcsb.org/FAT4	genenames.org/FAT4	hpo/ORPHA/FAT4	hpo.jax.org/FAT4	amigo.org/FAT4	alphafold/FAT4	gemma/FAT4	clinicalgenome.org/FAT4
AIOLOS deficiency	IKZF3	AD	NA	NA	Normal numbers T, NK cells. Increased naïve CD4+ T cells, RTE. Decreased memory, Tfh; CD40L induction. Increased %’s CD8 T cells; activated T cells	Abnormal B cell development decreased BM B precursors;  hi CD21lo B; decreased memory B cells. Decreased response to CD40	Severe hypogamma	NA	NA	EBV susceptibility, recurrent sinopulmonary/respiratory infections, PJP, warts, M avium. B cell lymphoma 2/3, B-CLL	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	NA	NA	NA	NA	uniprot.org/IKZF3	ensembl.org/IKZF3	omim.org/IKZF3	GWAS/IKZF3	omni/IKZF3	gnomad.org/r2IKZF3	gnomad.org/r3IKZF3	rcsb.org/IKZF3	genenames.org/IKZF3	hpo/ORPHA/IKZF3	hpo.jax.org/IKZF3	amigo.org/IKZF3	alphafold/IKZF3	gemma/IKZF3	clinicalgenome.org/IKZF3
Kabuki Syndrome 2 due to KDM6A deficiency	KDM6A	XL	females	300128	Normal	Normal	Low IgA and occasionally low IgG	Normal	NA	Typical facial abnormalities, cleft or high arched palate, skeletal abnormalities, short stature, intellectual disability, congenital heart defects, recurrent infections otitis media, pneumonia in 50% of patients. Autoimmunity may be present	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0004322	uniprot.org/KDM6A	ensembl.org/KDM6A	omim.org/KDM6A	GWAS/KDM6A	omni/KDM6A	gnomad.org/r2KDM6A	gnomad.org/r3KDM6A	rcsb.org/KDM6A	genenames.org/KDM6A	hpo/ORPHA/KDM6A	hpo.jax.org/KDM6A	amigo.org/KDM6A	alphafold/KDM6A	gemma/KDM6A	clinicalgenome.org/KDM6A
Widemann-Steiner syndrome	KMT2A	AD	NA	605130	Normal	Variably decreased switched memory B cells	Low	NA	NA	Respiratory infections, short stature, hypertelorism, hairy elbows, developmental delay, intellectual disability	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	NA	NA	HP:0002715	HP:0004322	uniprot.org/KMT2A	ensembl.org/KMT2A	omim.org/KMT2A	GWAS/KMT2A	omni/KMT2A	gnomad.org/r2KMT2A	gnomad.org/r3KMT2A	rcsb.org/KMT2A	genenames.org/KMT2A	hpo/ORPHA/KMT2A	hpo.jax.org/KMT2A	amigo.org/KMT2A	alphafold/KMT2A	gemma/KMT2A	clinicalgenome.org/KMT2A
Kabuki Syndrome 1 due to KMT2D deficiency	KMT2D	AD	NA	602113	Normal	Normal	Low IgA and occasionally low IgG	Normal	NA	Typical facial abnormalities, cleft or high arched palate, skeletal abnormalities, short stature, intellectual disability, congenital heart defects, recurrent infections otitis media, pneumonia in 50% of patients. Autoimmunity may be present	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0004322	uniprot.org/KMT2D	ensembl.org/KMT2D	omim.org/KMT2D	GWAS/KMT2D	omni/KMT2D	gnomad.org/r2KMT2D	gnomad.org/r3KMT2D	rcsb.org/KMT2D	genenames.org/KMT2D	hpo/ORPHA/KMT2D	hpo.jax.org/KMT2D	amigo.org/KMT2D	alphafold/KMT2D	gemma/KMT2D	clinicalgenome.org/KMT2D
NFE2L2 GOF	NFE2L2	AD	NA	617744	NA	Decreased switched memory B cells	Low	NA	NA	Recurrent respiratory and skin infections, growth retardation, , developmental delay; white matter cerebral lesions, increased level of homocysteine; increased expression of stress response genes	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0012758	uniprot.org/NFE2L2	ensembl.org/NFE2L2	omim.org/NFE2L2	GWAS/NFE2L2	omni/NFE2L2	gnomad.org/r2NFE2L2	gnomad.org/r3NFE2L2	rcsb.org/NFE2L2	genenames.org/NFE2L2	hpo/ORPHA/NFE2L2	hpo.jax.org/NFE2L2	amigo.org/NFE2L2	alphafold/NFE2L2	gemma/NFE2L2	clinicalgenome.org/NFE2L2
Purine nucleoside phosphorylase PNP deficiency	PNP	AR	NA	164050	Progressive decrease	Normal	Normal to low	Variable	NA	Autoimmune haemolytic anemia, neurological impairment	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0012759	uniprot.org/PNP	ensembl.org/PNP	omim.org/PNP	GWAS/PNP	omni/PNP	gnomad.org/r2PNP	gnomad.org/r3PNP	rcsb.org/PNP	genenames.org/PNP	hpo/ORPHA/PNP	hpo.jax.org/PNP	amigo.org/PNP	alphafold/PNP	gemma/PNP	clinicalgenome.org/PNP
HOIL1 deficiency	RBCK1	AR	NA	610924	Normal numbers	Normal,  decreased memory B cells	NA	NA	NA	Bacterial infections, autoinflammation, amylopectinosis	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0002718	uniprot.org/RBCK1	ensembl.org/RBCK1	omim.org/RBCK1	GWAS/RBCK1	omni/RBCK1	gnomad.org/r2RBCK1	gnomad.org/r3RBCK1	rcsb.org/RBCK1	genenames.org/RBCK1	hpo/ORPHA/RBCK1	hpo.jax.org/RBCK1	amigo.org/RBCK1	alphafold/RBCK1	gemma/RBCK1	clinicalgenome.org/RBCK1
HOIP deficiency	RNF31	AR	NA	612487	Normal numbers	Normal,  decreased memory B cells	NA	NA	NA	Bacterial infections, autoinflammation, amylopectinosis, lymphangiectasia	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0002718	uniprot.org/RNF31	ensembl.org/RNF31	omim.org/RNF31	GWAS/RNF31	omni/RNF31	gnomad.org/r2RNF31	gnomad.org/r3RNF31	rcsb.org/RNF31	genenames.org/RNF31	hpo/ORPHA/RNF31	hpo.jax.org/RNF31	amigo.org/RNF31	alphafold/RNF31	gemma/RNF31	clinicalgenome.org/RNF31
Tricho-hepato-enteric syndrome due to SKIV2L mutations	SKIV2L	AR	NA	614602	Impaired function	Variably low switched memory B cells	Low	NA	NA	Respiratory infections,IUGR, facial dysmorphic features, wooly hair, early onset intractable diarrhea, liver cirrhosis, platelet abnormalities	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0002014	uniprot.org/SKIV2L	ensembl.org/SKIV2L	omim.org/SKIV2L	GWAS/SKIV2L	omni/SKIV2L	gnomad.org/r2SKIV2L	gnomad.org/r3SKIV2L	rcsb.org/SKIV2L	genenames.org/SKIV2L	hpo/ORPHA/SKIV2L	hpo.jax.org/SKIV2L	amigo.org/SKIV2L	alphafold/SKIV2L	gemma/SKIV2L	clinicalgenome.org/SKIV2L
Hepatic veno-occlusive disease with immunodeficiency VODI	SP110	AR	NA	604457	Normal decreased memory T cells	Normal decreased memory B cells	Low	NA	NA	Hepatic veno-occlusive disease,  Susceptibility to Pneumocystis jirovecii pneumonia, CMV, candida, thrombocytopenia, hepatosplenomegaly, cerebrospinal leukodystrophy	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0002415	uniprot.org/SP110	ensembl.org/SP110	omim.org/SP110	GWAS/SP110	omni/SP110	gnomad.org/r2SP110	gnomad.org/r3SP110	rcsb.org/SP110	genenames.org/SP110	hpo/ORPHA/SP110	hpo.jax.org/SP110	amigo.org/SP110	alphafold/SP110	gemma/SP110	clinicalgenome.org/SP110
STAT5b deficiency	STAT5B	AR	NA	245590	Modestly decreased	Normal	Normal	NA	NA	Growth-hormone insensitive dwarfism, dysmorphic features, eczema, lymphocytic interstitial pneumonitis, autoimmunity	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0004322	uniprot.org/STAT5B	ensembl.org/STAT5B	omim.org/STAT5B	GWAS/STAT5B	omni/STAT5B	gnomad.org/r2STAT5B	gnomad.org/r3STAT5B	rcsb.org/STAT5B	genenames.org/STAT5B	hpo/ORPHA/STAT5B	hpo.jax.org/STAT5B	amigo.org/STAT5B	alphafold/STAT5B	gemma/STAT5B	clinicalgenome.org/STAT5B
STAT5b deficiency	STAT5B	AD	DN	604260	Normal	Normal	Increased igE	NA	NA	Growth-failure, eczema	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0004322	uniprot.org/STAT5B	ensembl.org/STAT5B	omim.org/STAT5B	GWAS/STAT5B	omni/STAT5B	gnomad.org/r2STAT5B	gnomad.org/r3STAT5B	rcsb.org/STAT5B	genenames.org/STAT5B	hpo/ORPHA/STAT5B	hpo.jax.org/STAT5B	amigo.org/STAT5B	alphafold/STAT5B	gemma/STAT5B	clinicalgenome.org/STAT5B
Tricho-hepato-enteric syndrome due to TTC37 mutations	TTC37	AR	NA	222470	Impaired function	Variably low switched memory B cells	Low	NA	NA	Respiratory infections,IUGR, facial dysmorphic features, wooly hair, early onset intractable diarrhea, liver cirrhosis, platelet abnormalities	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0002014	uniprot.org/TTC37	ensembl.org/TTC37	omim.org/TTC37	GWAS/TTC37	omni/TTC37	gnomad.org/r2TTC37	gnomad.org/r3TTC37	rcsb.org/TTC37	genenames.org/TTC37	hpo/ORPHA/TTC37	hpo.jax.org/TTC37	amigo.org/TTC37	alphafold/TTC37	gemma/TTC37	clinicalgenome.org/TTC37
Immunodeficiency with multiple intestinal atresias	TTC7A	AR	NA	609332	Variable, but sometimes absent low TRECs	Normal or low	Low	Normal	NA	Bacterial sepsis, fungal, viral infections, multiple intestinal atresias, often with intrauterine polyhydramnios and early demise, some with SCID phenotype	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0011100	uniprot.org/TTC7A	ensembl.org/TTC7A	omim.org/TTC7A	GWAS/TTC7A	omni/TTC7A	gnomad.org/r2TTC7A	gnomad.org/r3TTC7A	rcsb.org/TTC7A	genenames.org/TTC7A	hpo/ORPHA/TTC7A	hpo.jax.org/TTC7A	amigo.org/TTC7A	alphafold/TTC7A	gemma/TTC7A	clinicalgenome.org/TTC7A
BMFS2 Hebo deficiency	ERCC6L2	AR	NA	615667	NA	NA	NA	NA	Hematopoietic stem cell	Bone marrow failure, learning difficulties, microcephaly, facial dysmorphism	Table 2 Combined immunodeficiencies with associated or syndromic features	NA	238.72	D61.89	HP:0002721	HP:0005528	uniprot.org/ERCC6L2	ensembl.org/ERCC6L2	omim.org/ERCC6L2	GWAS/ERCC6L2	omni/ERCC6L2	gnomad.org/r2ERCC6L2	gnomad.org/r3ERCC6L2	rcsb.org/ERCC6L2	genenames.org/ERCC6L2	hpo/ORPHA/ERCC6L2	hpo.jax.org/ERCC6L2	amigo.org/ERCC6L2	alphafold/ERCC6L2	gemma/ERCC6L2	clinicalgenome.org/ERCC6L2
BLNK deficiency	BLNK	AR	NA	604515	Normal	Very low	Very low	NA	NA	Severe bacterial infections, normal numbers of pro-B cells	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432	uniprot.org/BLNK	ensembl.org/BLNK	omim.org/BLNK	GWAS/BLNK	omni/BLNK	gnomad.org/r2BLNK	gnomad.org/r3BLNK	rcsb.org/BLNK	genenames.org/BLNK	hpo/ORPHA/BLNK	hpo.jax.org/BLNK	amigo.org/BLNK	alphafold/BLNK	gemma/BLNK	clinicalgenome.org/BLNK
BTK deficiency, X-linked agammaglobulinemia XLA	BTK	XL	NA	300300	Normal	Very low	Very low	Variable	NA	Severe bacterial infections, normal numbers of pro-B cells	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432	uniprot.org/BTK	ensembl.org/BTK	omim.org/BTK	GWAS/BTK	omni/BTK	gnomad.org/r2BTK	gnomad.org/r3BTK	rcsb.org/BTK	genenames.org/BTK	hpo/ORPHA/BTK	hpo.jax.org/BTK	amigo.org/BTK	alphafold/BTK	gemma/BTK	clinicalgenome.org/BTK
Iga deficiency	CD79A	AR	NA	112205	Normal	Very low	Very low	NA	NA	Severe bacterial infections, normal numbers of pro-B cells	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432	uniprot.org/CD79A	ensembl.org/CD79A	omim.org/CD79A	GWAS/CD79A	omni/CD79A	gnomad.org/r2CD79A	gnomad.org/r3CD79A	rcsb.org/CD79A	genenames.org/CD79A	hpo/ORPHA/CD79A	hpo.jax.org/CD79A	amigo.org/CD79A	alphafold/CD79A	gemma/CD79A	clinicalgenome.org/CD79A
Igb deficiency	CD79B	AR	NA	147245	Normal	Very low	Very low	NA	NA	Severe bacterial infections, normal numbers of pro-B cells	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432	uniprot.org/CD79B	ensembl.org/CD79B	omim.org/CD79B	GWAS/CD79B	omni/CD79B	gnomad.org/r2CD79B	gnomad.org/r3CD79B	rcsb.org/CD79B	genenames.org/CD79B	hpo/ORPHA/CD79B	hpo.jax.org/CD79B	amigo.org/CD79B	alphafold/CD79B	gemma/CD79B	clinicalgenome.org/CD79B
FNIP1 deficiency	FNIP1	AR	NA	NA	Increased T cells	Low B cells	Very low	Variable neutropenia	NA	Early onset recurrent infections: sinopulmonary, bronchiectasis. Congenital heart defects eg hypertrophic cardiomyopathy. Variable neutropenia (severe or intermittent), Crohn disease (one patient, developmental delay.  increased AMPK activity	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432	uniprot.org/FNIP1	ensembl.org/FNIP1	omim.org/FNIP1	GWAS/FNIP1	omni/FNIP1	gnomad.org/r2FNIP1	gnomad.org/r3FNIP1	rcsb.org/FNIP1	genenames.org/FNIP1	hpo/ORPHA/FNIP1	hpo.jax.org/FNIP1	amigo.org/FNIP1	alphafold/FNIP1	gemma/FNIP1	clinicalgenome.org/FNIP1
m heavy chain deficiency	IGHM	AR	NA	147020	Normal	Very low	Very low	NA	NA	Severe bacterial infections, normal numbers of pro-B cells	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432	uniprot.org/IGHM	ensembl.org/IGHM	omim.org/IGHM	GWAS/IGHM	omni/IGHM	gnomad.org/r2IGHM	gnomad.org/r3IGHM	rcsb.org/IGHM	genenames.org/IGHM	hpo/ORPHA/IGHM	hpo.jax.org/IGHM	amigo.org/IGHM	alphafold/IGHM	gemma/IGHM	clinicalgenome.org/IGHM
l5 deficiency	IGLL1	AR	NA	146770	Normal	Very low	Very low	NA	NA	Severe bacterial infections, normal numbers of pro-B cells	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432	uniprot.org/IGLL1	ensembl.org/IGLL1	omim.org/IGLL1	GWAS/IGLL1	omni/IGLL1	gnomad.org/r2IGLL1	gnomad.org/r3IGLL1	rcsb.org/IGLL1	genenames.org/IGLL1	hpo/ORPHA/IGLL1	hpo.jax.org/IGLL1	amigo.org/IGLL1	alphafold/IGLL1	gemma/IGLL1	clinicalgenome.org/IGLL1
PIK3CD deficiency	PIK3CD	AR	NA	NA	NA	Very low	Very low	NA	NA	Severe bacterial infections; autoimmune complications IBD	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	NA	NA	HP:0002715	HP:0004432	uniprot.org/PIK3CD	ensembl.org/PIK3CD	omim.org/PIK3CD	GWAS/PIK3CD	omni/PIK3CD	gnomad.org/r2PIK3CD	gnomad.org/r3PIK3CD	rcsb.org/PIK3CD	genenames.org/PIK3CD	hpo/ORPHA/PIK3CD	hpo.jax.org/PIK3CD	amigo.org/PIK3CD	alphafold/PIK3CD	gemma/PIK3CD	clinicalgenome.org/PIK3CD
PIK3R1 deficiency	PIK3R1	AR	NA	171833	NA	Very low	Very low	NA	NA	Severe bacterial infections,  decreased or absent pro-B cells	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432	uniprot.org/PIK3R1	ensembl.org/PIK3R1	omim.org/PIK3R1	GWAS/PIK3R1	omni/PIK3R1	gnomad.org/r2PIK3R1	gnomad.org/r3PIK3R1	rcsb.org/PIK3R1	genenames.org/PIK3R1	hpo/ORPHA/PIK3R1	hpo.jax.org/PIK3R1	amigo.org/PIK3R1	alphafold/PIK3R1	gemma/PIK3R1	clinicalgenome.org/PIK3R1
SLC39A7 ZIP7 deficiency	SLC39A7	AR	NA	601416	NA	Very low	Very low	NA	NA	Early onset infections, blistering dermatosis, failure to thrive, thrombocytopenia	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	NA	NA	HP:0002715	HP:0004432	uniprot.org/SLC39A7	ensembl.org/SLC39A7	omim.org/SLC39A7	GWAS/SLC39A7	omni/SLC39A7	gnomad.org/r2SLC39A7	gnomad.org/r3SLC39A7	rcsb.org/SLC39A7	genenames.org/SLC39A7	hpo/ORPHA/SLC39A7	hpo.jax.org/SLC39A7	amigo.org/SLC39A7	alphafold/SLC39A7	gemma/SLC39A7	clinicalgenome.org/SLC39A7
Pu.1 deficiency	SPI1	AD	NA	NA	Normal numbers of T and NK cells, increased % CD8s	Decreased B. B cell development arrested at pro to pre–B stage	Undetectable	NA	Decreased DC	Sinopulmonary infections with encapsulated bacteria. Viral infections in some patients incl paralysis in 1 following live polio vaccine	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	NA	NA	NA	NA	uniprot.org/SPI1	ensembl.org/SPI1	omim.org/SPI1	GWAS/SPI1	omni/SPI1	gnomad.org/r2SPI1	gnomad.org/r3SPI1	rcsb.org/SPI1	genenames.org/SPI1	hpo/ORPHA/SPI1	hpo.jax.org/SPI1	amigo.org/SPI1	alphafold/SPI1	gemma/SPI1	clinicalgenome.org/SPI1
E47 transcription factor deficiency	TCF3	AD	NA	147141	NA	Very low	Very low	NA	NA	Recurrent bacterial infections	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432	uniprot.org/TCF3	ensembl.org/TCF3	omim.org/TCF3	GWAS/TCF3	omni/TCF3	gnomad.org/r2TCF3	gnomad.org/r3TCF3	rcsb.org/TCF3	genenames.org/TCF3	hpo/ORPHA/TCF3	hpo.jax.org/TCF3	amigo.org/TCF3	alphafold/TCF3	gemma/TCF3	clinicalgenome.org/TCF3
E47 transcription factor deficiency	TCF3	AR	NA	NA	NA	Very low	Very low	NA	NA	Severe, recurrent bacterial infections, failure to thrive	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	NA	NA	HP:0002715	HP:0004432	uniprot.org/TCF3	ensembl.org/TCF3	omim.org/TCF3	GWAS/TCF3	omni/TCF3	gnomad.org/r2TCF3	gnomad.org/r3TCF3	rcsb.org/TCF3	genenames.org/TCF3	hpo/ORPHA/TCF3	hpo.jax.org/TCF3	amigo.org/TCF3	alphafold/TCF3	gemma/TCF3	clinicalgenome.org/TCF3
Hoffman syndrome/TOP2B deficiency	TOP2B	AD	NA	126431	NA	Very low	Very low	NA	NA	Recurrent infections, facial dysmorphism, limb anomalies	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	NA	NA	HP:0002715	HP:0004432	uniprot.org/TOP2B	ensembl.org/TOP2B	omim.org/TOP2B	GWAS/TOP2B	omni/TOP2B	gnomad.org/r2TOP2B	gnomad.org/r3TOP2B	rcsb.org/TOP2B	genenames.org/TOP2B	hpo/ORPHA/TOP2B	hpo.jax.org/TOP2B	amigo.org/TOP2B	alphafold/TOP2B	gemma/TOP2B	clinicalgenome.org/TOP2B
Common variable immune deficiency with no gene defect specified CVID	 Unknown	Variable	NA	NA	Variable	Variable	Low IgG and IgA and/or IgM	NA	NA	Clinical phenotypes vary: most have recurrent infections, some have polyclonal lymphoproliferation, autoimmune cytopenias and/or granulomatous disease	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/ Unknown	ensembl.org/ Unknown	omim.org/ Unknown	GWAS/ Unknown	omni/ Unknown	gnomad.org/r2 Unknown	gnomad.org/r3 Unknown	rcsb.org/ Unknown	genenames.org/ Unknown	hpo/ORPHA/ Unknown	hpo.jax.org/ Unknown	amigo.org/ Unknown	alphafold/ Unknown	gemma/ Unknown	clinicalgenome.org/ Unknown
ARHGEF1 deficiency	ARHGEF1	AR	NA	618459	NA	NA	Low	NA	NA	Recurrent infections, bronchiectasis	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	NA	NA	HP:0002715	HP:0004313	uniprot.org/ARHGEF1	ensembl.org/ARHGEF1	omim.org/ARHGEF1	GWAS/ARHGEF1	omni/ARHGEF1	gnomad.org/r2ARHGEF1	gnomad.org/r3ARHGEF1	rcsb.org/ARHGEF1	genenames.org/ARHGEF1	hpo/ORPHA/ARHGEF1	hpo.jax.org/ARHGEF1	amigo.org/ARHGEF1	alphafold/ARHGEF1	gemma/ARHGEF1	clinicalgenome.org/ARHGEF1
